raceId,driverId,driverRef,circuitId,circuit_name,season,round,grid,position,positions_gained,driver_avg_finish_last5,driver_dnf_rate_last5,driver_circuit_avg_finish,driver_circuit_race_count,age
912,1,hamilton,14,Autodromo Nazionale di Monza,2014,13,1,1,0,5.4,0.2,5.944444444444445,18,29
913,1,hamilton,15,Marina Bay Street Circuit,2014,14,1,1,0,5.4,0.2,6.866666666666666,15,29
914,1,hamilton,22,Suzuka Circuit,2014,15,2,1,1,5.0,0.2,4.785714285714286,14,29
915,1,hamilton,71,Sochi Autodrom,2014,16,1,1,0,4.6,0.2,1.75,8,29
916,1,hamilton,69,Circuit of the Americas,2014,17,2,1,1,1.0,0.0,4.75,12,29
917,1,hamilton,18,Autódromo José Carlos Pace,2014,18,2,2,0,1.2,0.0,6.352941176470588,17,29
918,1,hamilton,24,Yas Marina Circuit,2014,19,2,1,1,1.2,0.0,5.875,16,29
926,1,hamilton,1,Albert Park Grand Prix Circuit,2015,1,1,1,0,1.2,0.0,5.75,16,30
927,1,hamilton,2,Sepang International Circuit,2015,2,1,2,-1,1.4,0.0,5.181818181818182,11,30
928,1,hamilton,17,Shanghai International Circuit,2015,3,1,1,0,1.4,0.0,4.214285714285714,14,30
929,1,hamilton,3,Bahrain International Circuit,2015,4,1,1,0,1.2,0.0,3.7058823529411766,17,30
930,1,hamilton,4,Circuit de Barcelona-Catalunya,2015,5,2,2,0,1.4,0.0,4.944444444444445,18,30
931,1,hamilton,6,Circuit de Monaco,2015,6,1,3,-2,1.8,0.0,4.588235294117647,17,30
932,1,hamilton,7,Circuit Gilles Villeneuve,2015,7,1,1,0,1.6,0.0,5.666666666666667,15,30
933,1,hamilton,70,Red Bull Ring,2015,8,1,2,-1,1.8,0.0,4.3076923076923075,13,30
934,1,hamilton,9,Silverstone Circuit,2015,9,1,1,0,1.8,0.0,2.9473684210526314,19,30
936,1,hamilton,11,Hungaroring,2015,10,1,6,-5,2.6,0.0,3.388888888888889,18,30
937,1,hamilton,13,Circuit de Spa-Francorchamps,2015,11,1,1,0,2.2,0.0,7.333333333333333,18,30
938,1,hamilton,14,Autodromo Nazionale di Monza,2015,12,1,1,0,2.2,0.0,5.944444444444445,18,30
939,1,hamilton,15,Marina Bay Street Circuit,2015,13,5,18,-13,5.4,0.2,6.866666666666666,15,30
940,1,hamilton,22,Suzuka Circuit,2015,14,2,1,1,5.4,0.2,4.785714285714286,14,30
941,1,hamilton,71,Sochi Autodrom,2015,15,2,1,1,4.4,0.2,1.75,8,30
942,1,hamilton,69,Circuit of the Americas,2015,16,2,1,1,4.4,0.2,4.75,12,30
943,1,hamilton,32,Autódromo Hermanos Rodríguez,2015,17,2,2,0,4.6,0.2,3.0,9,30
944,1,hamilton,18,Autódromo José Carlos Pace,2015,18,2,2,0,1.4,0.0,6.352941176470588,17,30
945,1,hamilton,24,Yas Marina Circuit,2015,19,2,2,0,1.6,0.0,5.875,16,30
948,1,hamilton,1,Albert Park Grand Prix Circuit,2016,1,1,2,-1,1.8,0.0,5.75,16,31
949,1,hamilton,3,Bahrain International Circuit,2016,2,1,3,-2,2.2,0.0,3.7058823529411766,17,31
950,1,hamilton,17,Shanghai International Circuit,2016,3,22,7,15,3.2,0.0,4.214285714285714,14,31
951,1,hamilton,71,Sochi Autodrom,2016,4,10,2,8,3.2,0.0,1.75,8,31
952,1,hamilton,4,Circuit de Barcelona-Catalunya,2016,5,1,21,-20,7.0,0.2,4.944444444444445,18,31
953,1,hamilton,6,Circuit de Monaco,2016,6,3,1,2,6.8,0.2,4.588235294117647,17,31
954,1,hamilton,7,Circuit Gilles Villeneuve,2016,7,1,1,0,6.4,0.2,5.666666666666667,15,31
955,1,hamilton,73,Baku City Circuit,2016,8,10,5,5,6.0,0.2,5.875,8,31
956,1,hamilton,70,Red Bull Ring,2016,9,1,1,0,5.8,0.2,4.3076923076923075,13,31
957,1,hamilton,9,Silverstone Circuit,2016,10,1,1,0,1.8,0.0,2.9473684210526314,19,31
958,1,hamilton,11,Hungaroring,2016,11,2,1,1,1.8,0.0,3.388888888888889,18,31
959,1,hamilton,10,Hockenheimring,2016,12,2,1,1,1.8,0.0,6.142857142857143,7,31
960,1,hamilton,13,Circuit de Spa-Francorchamps,2016,13,21,3,18,1.4,0.0,7.333333333333333,18,31
961,1,hamilton,14,Autodromo Nazionale di Monza,2016,14,1,2,-1,1.6,0.0,5.944444444444445,18,31
962,1,hamilton,15,Marina Bay Street Circuit,2016,15,3,3,0,2.0,0.0,6.866666666666666,15,31
963,1,hamilton,2,Sepang International Circuit,2016,16,1,18,-17,5.4,0.2,5.181818181818182,11,31
964,1,hamilton,22,Suzuka Circuit,2016,17,2,3,-1,5.8,0.2,4.785714285714286,14,31
965,1,hamilton,69,Circuit of the Americas,2016,18,1,1,0,5.4,0.2,4.75,12,31
966,1,hamilton,32,Autódromo Hermanos Rodríguez,2016,19,1,1,0,5.2,0.2,3.0,9,31
967,1,hamilton,18,Autódromo José Carlos Pace,2016,20,1,1,0,4.8,0.2,6.352941176470588,17,31
968,1,hamilton,24,Yas Marina Circuit,2016,21,1,1,0,1.4,0.0,5.875,16,31
969,1,hamilton,1,Albert Park Grand Prix Circuit,2017,1,1,2,-1,1.2,0.0,5.75,16,32
970,1,hamilton,17,Shanghai International Circuit,2017,2,1,1,0,1.2,0.0,4.214285714285714,14,32
971,1,hamilton,3,Bahrain International Circuit,2017,3,2,2,0,1.4,0.0,3.7058823529411766,17,32
972,1,hamilton,71,Sochi Autodrom,2017,4,4,4,0,2.0,0.0,1.75,8,32
973,1,hamilton,4,Circuit de Barcelona-Catalunya,2017,5,1,1,0,2.0,0.0,4.944444444444445,18,32
974,1,hamilton,6,Circuit de Monaco,2017,6,13,7,6,3.0,0.0,4.588235294117647,17,32
975,1,hamilton,7,Circuit Gilles Villeneuve,2017,7,1,1,0,3.0,0.0,5.666666666666667,15,32
976,1,hamilton,73,Baku City Circuit,2017,8,1,5,-4,3.6,0.0,5.875,8,32
977,1,hamilton,70,Red Bull Ring,2017,9,8,4,4,3.6,0.0,4.3076923076923075,13,32
978,1,hamilton,9,Silverstone Circuit,2017,10,1,1,0,3.6,0.0,2.9473684210526314,19,32
979,1,hamilton,11,Hungaroring,2017,11,4,4,0,3.0,0.0,3.388888888888889,18,32
980,1,hamilton,13,Circuit de Spa-Francorchamps,2017,12,1,1,0,3.0,0.0,7.333333333333333,18,32
981,1,hamilton,14,Autodromo Nazionale di Monza,2017,13,1,1,0,2.2,0.0,5.944444444444445,18,32
982,1,hamilton,15,Marina Bay Street Circuit,2017,14,5,1,4,1.6,0.0,6.866666666666666,15,32
983,1,hamilton,2,Sepang International Circuit,2017,15,1,2,-1,1.8,0.0,5.181818181818182,11,32
984,1,hamilton,22,Suzuka Circuit,2017,16,1,1,0,1.2,0.0,4.785714285714286,14,32
985,1,hamilton,69,Circuit of the Americas,2017,17,1,1,0,1.2,0.0,4.75,12,32
986,1,hamilton,32,Autódromo Hermanos Rodríguez,2017,18,3,9,-6,2.8,0.0,3.0,9,32
987,1,hamilton,18,Autódromo José Carlos Pace,2017,19,20,4,16,3.4,0.0,6.352941176470588,17,32
988,1,hamilton,24,Yas Marina Circuit,2017,20,2,2,0,3.4,0.0,5.875,16,32
989,1,hamilton,1,Albert Park Grand Prix Circuit,2018,1,1,2,-1,3.6,0.0,5.75,16,33
990,1,hamilton,3,Bahrain International Circuit,2018,2,9,3,6,4.0,0.0,3.7058823529411766,17,33
991,1,hamilton,17,Shanghai International Circuit,2018,3,4,4,0,3.0,0.0,4.214285714285714,14,33
992,1,hamilton,73,Baku City Circuit,2018,4,2,1,1,2.4,0.0,5.875,8,33
993,1,hamilton,4,Circuit de Barcelona-Catalunya,2018,5,1,1,0,2.2,0.0,4.944444444444445,18,33
994,1,hamilton,6,Circuit de Monaco,2018,6,3,3,0,2.4,0.0,4.588235294117647,17,33
995,1,hamilton,7,Circuit Gilles Villeneuve,2018,7,4,5,-1,2.8,0.0,5.666666666666667,15,33
996,1,hamilton,34,Circuit Paul Ricard,2018,8,1,1,0,2.2,0.0,1.5,4,33
997,1,hamilton,70,Red Bull Ring,2018,9,2,16,-14,5.2,0.2,4.3076923076923075,13,33
998,1,hamilton,9,Silverstone Circuit,2018,10,1,2,-1,5.4,0.2,2.9473684210526314,19,33
999,1,hamilton,10,Hockenheimring,2018,11,14,1,13,5.0,0.2,6.142857142857143,7,33
1000,1,hamilton,11,Hungaroring,2018,12,1,1,0,4.2,0.2,3.388888888888889,18,33
1001,1,hamilton,13,Circuit de Spa-Francorchamps,2018,13,1,2,-1,4.4,0.2,7.333333333333333,18,33
1002,1,hamilton,14,Autodromo Nazionale di Monza,2018,14,3,1,2,1.4,0.0,5.944444444444445,18,33
1003,1,hamilton,15,Marina Bay Street Circuit,2018,15,1,1,0,1.2,0.0,6.866666666666666,15,33
1004,1,hamilton,71,Sochi Autodrom,2018,16,2,1,1,1.2,0.0,1.75,8,33
1005,1,hamilton,22,Suzuka Circuit,2018,17,1,1,0,1.2,0.0,4.785714285714286,14,33
1006,1,hamilton,69,Circuit of the Americas,2018,18,1,3,-2,1.4,0.0,4.75,12,33
1007,1,hamilton,32,Autódromo Hermanos Rodríguez,2018,19,3,4,-1,2.0,0.0,3.0,9,33
1008,1,hamilton,18,Autódromo José Carlos Pace,2018,20,1,1,0,2.0,0.0,6.352941176470588,17,33
1009,1,hamilton,24,Yas Marina Circuit,2018,21,1,1,0,2.0,0.0,5.875,16,33
1010,1,hamilton,1,Albert Park Grand Prix Circuit,2019,1,1,2,-1,2.2,0.0,5.75,16,34
1011,1,hamilton,3,Bahrain International Circuit,2019,2,3,1,2,1.8,0.0,3.7058823529411766,17,34
1012,1,hamilton,17,Shanghai International Circuit,2019,3,2,1,1,1.2,0.0,4.214285714285714,14,34
1013,1,hamilton,73,Baku City Circuit,2019,4,2,2,0,1.4,0.0,5.875,8,34
1014,1,hamilton,4,Circuit de Barcelona-Catalunya,2019,5,2,1,1,1.4,0.0,4.944444444444445,18,34
1015,1,hamilton,6,Circuit de Monaco,2019,6,1,1,0,1.2,0.0,4.588235294117647,17,34
1016,1,hamilton,7,Circuit Gilles Villeneuve,2019,7,2,1,1,1.2,0.0,5.666666666666667,15,34
1017,1,hamilton,34,Circuit Paul Ricard,2019,8,1,1,0,1.2,0.0,1.5,4,34
1018,1,hamilton,70,Red Bull Ring,2019,9,4,5,-1,1.8,0.0,4.3076923076923075,13,34
1019,1,hamilton,9,Silverstone Circuit,2019,10,2,1,1,1.8,0.0,2.9473684210526314,19,34
1020,1,hamilton,10,Hockenheimring,2019,11,1,9,-8,3.4,0.0,6.142857142857143,7,34
1021,1,hamilton,11,Hungaroring,2019,12,3,1,2,3.4,0.0,3.388888888888889,18,34
1022,1,hamilton,13,Circuit de Spa-Francorchamps,2019,13,3,2,1,3.6,0.0,7.333333333333333,18,34
1023,1,hamilton,14,Autodromo Nazionale di Monza,2019,14,2,3,-1,3.2,0.0,5.944444444444445,18,34
1024,1,hamilton,15,Marina Bay Street Circuit,2019,15,2,4,-2,3.8,0.0,6.866666666666666,15,34
1025,1,hamilton,71,Sochi Autodrom,2019,16,2,1,1,2.2,0.0,1.75,8,34
1026,1,hamilton,22,Suzuka Circuit,2019,17,4,3,1,2.6,0.0,4.785714285714286,14,34
1027,1,hamilton,32,Autódromo Hermanos Rodríguez,2019,18,3,1,2,2.4,0.0,3.0,9,34
1028,1,hamilton,69,Circuit of the Americas,2019,19,5,2,3,2.2,0.0,4.75,12,34
1029,1,hamilton,18,Autódromo José Carlos Pace,2019,20,3,7,-4,2.8,0.0,6.352941176470588,17,34
1030,1,hamilton,24,Yas Marina Circuit,2019,21,1,1,0,2.8,0.0,5.875,16,34
1031,1,hamilton,70,Red Bull Ring,2020,1,5,4,1,3.0,0.0,4.3076923076923075,13,35
1032,1,hamilton,70,Red Bull Ring,2020,2,1,1,0,3.0,0.0,4.3076923076923075,13,35
1033,1,hamilton,11,Hungaroring,2020,3,1,1,0,2.8,0.0,3.388888888888889,18,35
1034,1,hamilton,9,Silverstone Circuit,2020,4,1,1,0,1.6,0.0,2.9473684210526314,19,35
1035,1,hamilton,9,Silverstone Circuit,2020,5,2,2,0,1.8,0.0,2.9473684210526314,19,35
1036,1,hamilton,4,Circuit de Barcelona-Catalunya,2020,6,1,1,0,1.2,0.0,4.944444444444445,18,35
1037,1,hamilton,13,Circuit de Spa-Francorchamps,2020,7,1,1,0,1.2,0.0,7.333333333333333,18,35
1038,1,hamilton,14,Autodromo Nazionale di Monza,2020,8,1,7,-6,2.4,0.0,5.944444444444445,18,35
